1772,4075,41,-74
1382,27,41,-74
1768,302,41,-74
1505,11912,41,-74
1428,7953,41,-74
1414,9839,41,-74
1905,7625,41,-74
1378,148,41,-74
1947,3218,41,-74
1325,10,41,-74
1004,1419,41,-74
940,45,41,-74
636,2745,41,-74
759,243,41,-74
1639,4100,41,-74
1334,5009,41,-74
1202,8436,41,-74
288,1562,41,-74
243,5271,41,-74
216,2914,41,-74
263,1201,41,-74
272,769,41,-74
297,390,41,-74
289,5873,41,-74
295,2492,41,-74
252,1588,41,-74
273,3334,41,-74
266,143,41,-74
268,44,41,-74
210,29,41,-74
215,86,41,-74
176,512,41,-74
265,568,41,-74
159,46,41,-74
332,9180,41,-74
272,578,41,-74
241,109,41,-74
232,74,41,-74
231,198,41,-74
356,8746,41,-74
343,8543,41,-74
378,10507,41,-74
282,9917,41,-74
185,5091,41,-74
301,6848,41,-74
181,4690,41,-74
332,7159,41,-74
270,10053,41,-74
255,5371,41,-74
348,7219,41,-74
269,8749,41,-74
248,10946,41,-74
409,5653,41,-74
292,8357,41,-74
297,10197,41,-74
370,8747,41,-74
247,7954,41,-74
165,11081,41,-74
489,5341,41,-74
211,3377,41,-74
366,4549,41,-74
301,12292,41,-74
237,8158,41,-74
303,5141,41,-74
156,1638,41,-74
230,4337,41,-74
167,7855,41,-74
230,2991,41,-74
168,3969,41,-74
187,4867,41,-74
295,8256,41,-74
310,1216,41,-74
317,9514,41,-74
427,10037,41,-74
210,8657,41,-74
620,5892,41,-74
485,1475,41,-74
249,10870,41,-74
249,8612,41,-74
244,8846,41,-74
326,3827,41,-74
290,10102,41,-74
288,9523,41,-74
246,3245,41,-74
313,6850,41,-74
279,6323,41,-74
308,6945,41,-74
307,4800,41,-74
278,5127,41,-74
289,8862,41,-74
248,350,41,-74
237,5159,41,-74
255,2380,41,-74
251,1125,41,-74
380,7363,41,-74
298,6985,41,-74
440,4824,41,-74
327,7588,41,-74
255,3252,41,-74
253,1035,41,-74
326,6235,41,-74
295,5542,41,-74
298,6572,41,-74
257,9440,41,-74
150,12777,41,-74
148,11458,41,-74
142,6451,41,-74
236,7721,41,-74
142,9961,41,-74
195,7659,41,-74
148,7088,41,-74
176,10497,41,-74
123,11057,41,-74
143,9550,41,-74
157,8113,41,-74
116,715,41,-74
142,6662,41,-74
152,1116,41,-74
225,4539,41,-74
229,2132,41,-74
133,11364,41,-74
270,5587,41,-74
257,9541,41,-74
130,10929,41,-75
318,9560,41,-74
247,5473,41,-74
329,10985,41,-74
181,7980,41,-74
132,10685,41,-74
192,9941,41,-74
194,5926,41,-74
255,8833,41,-74
229,10058,41,-74
167,11273,41,-74
220,11356,41,-74
221,7645,41,-74
160,4448,41,-74
149,8513,41,-74
146,9767,41,-74
236,8830,41,-74
127,11380,41,-75
338,2493,41,-74
264,828,41,-74
477,7105,41,-74
305,2892,41,-74
492,8925,41,-74
466,4949,41,-74
441,9733,41,-74
566,8853,41,-74
560,5110,41,-74
371,1340,41,-74
445,2580,41,-74
254,7418,41,-74
562,1412,41,-74
510,1374,41,-74
589,1726,41,-74
1051,336,41,-74
279,60,41,-74
469,33,41,-74
593,745,41,-74
303,21,41,-74
288,17,41,-74
551,89,41,-74
406,210,41,-74
274,34,41,-74
455,214,41,-74
463,30,41,-74
947,142,41,-74
986,1101,41,-74
581,69,41,-74
574,7,41,-74
486,57,41,-74
968,1507,41,-74
525,54,41,-74
381,860,41,-74
558,204,41,-74
463,5,41,-74
522,708,41,-74
402,47,41,-74
507,48,41,-74
1001,1468,41,-74
635,2981,41,-74
487,161,41,-74
358,11,41,-74
491,51,41,-74
306,13,41,-74
888,305,41,-74
491,292,41,-74
500,49,41,-74
419,3355,41,-74
507,763,41,-74
464,1361,41,-74
519,4426,41,-74
501,2312,41,-74
485,4487,41,-74
525,9406,41,-74
505,1488,41,-74
467,1351,41,-74
495,5880,41,-74
421,851,41,-74
474,1,41,-74
353,1874,41,-74
427,196,41,-74
447,18,41,-74
454,808,41,-74
532,84,41,-74
457,26,41,-74
421,1776,41,-74
434,1813,41,-74
376,6,41,-74
306,5017,41,-74
265,1597,41,-74
282,1147,41,-74
295,2709,41,-74
380,4934,41,-74
322,3865,41,-74
337,2459,41,-74
329,1464,41,-74
314,950,41,-74
326,419,41,-74
310,766,41,-74
294,2531,41,-74
316,3253,41,-74
374,5592,41,-74
362,3088,41,-74
328,4529,41,-74
288,2754,41,-74
396,299,41,-74
290,2711,41,-74
294,169,41,-74
330,344,41,-74
323,6542,41,-74
329,4269,41,-74
354,9113,41,-74
395,11385,41,-74
231,2339,41,-74
301,8369,41,-74
280,9391,41,-74
270,6986,41,-74
208,691,41,-74
402,2969,41,-74
300,3636,41,-74
388,9012,41,-74
202,275,41,-74
267,3795,41,-74
234,3701,41,-74
284,1012,41,-74
272,8373,41,-74
246,7543,41,-74
