Zip Code,City,State,Metro,CountyName,SizeRank,Median_Price
1505,Boylston,MA,Worcester,Worcester,9167,175
1506,Brookfield,MA,Worcester,Worcester,11212,138
1507,Charlton,MA,Worcester,Worcester,5707,147
1510,Town of Clinton,MA,Worcester,Worcester,5841,147
1515,Town of East Brookfield,MA,Worcester,Worcester,10564,149
1516,Douglas,MA,Worcester,Worcester,7197,153
1518,Fiskdale,MA,Worcester,Worcester,11457,150
1519,Grafton,MA,Worcester,Worcester,8451,193
1520,Holden,MA,Worcester,Worcester,5696,165
1521,Town of Holland,MA,Springfield,Hampden,10389,167
1522,Holden,MA,Worcester,Worcester,10261,161
1523,Lancaster,MA,Worcester,Worcester,8800,176
1524,Leicester,MA,Worcester,Worcester,8688,135
1527,Millbury,MA,Worcester,Worcester,6422,156
1529,Millville,MA,Worcester,Worcester,9798,150
1532,Town of Northborough,MA,Worcester,Worcester,5282,212
1534,Northbridge,MA,Worcester,Worcester,9828,171
1535,Town of North Brookfield,MA,Worcester,Worcester,9876,141
1536,Grafton,MA,Worcester,Worcester,9222,186
1537,Town of Oxford,MA,Worcester,Worcester,12288,133
1540,Town of Oxford,MA,Worcester,Worcester,6734,162
1541,Princeton,MA,Worcester,Worcester,9689,160
1542,Leicester,MA,Worcester,Worcester,11484,144
1543,Town of Rutland,MA,Worcester,Worcester,11123,148
1545,Shrewsbury,MA,Worcester,Worcester,1892,214
1550,Town of Southbridge,MA,Worcester,Worcester,5199,114
1560,Grafton,MA,Worcester,Worcester,10042,176
1562,Town of Spencer,MA,Worcester,Worcester,6145,148
1564,Sterling,MA,Worcester,Worcester,7969,166
1566,Town of Sturbridge,MA,Worcester,Worcester,9088,150
1568,Upton,MA,Worcester,Worcester,8440,188
1569,Uxbridge,MA,Worcester,Worcester,5618,162
1570,Town of Webster,MA,Worcester,Worcester,4685,140
1571,Dudley,MA,Worcester,Worcester,6642,144
1581,Westborough,MA,Worcester,Worcester,4759,200
1583,West Boylston,MA,Worcester,Worcester,7567,167
1585,Town of West Brookfield,MA,Worcester,Worcester,8955,146
1588,Whitinsville,MA,Worcester,Worcester,7340,161
1590,Sutton,MA,Worcester,Worcester,7065,176
1602,Worcester,MA,Worcester,Worcester,4054,132
1603,Worcester,MA,Worcester,Worcester,4778,124
1604,Worcester,MA,Worcester,Worcester,1430,136
1605,Worcester,MA,Worcester,Worcester,4249,141
1606,Worcester,MA,Worcester,Worcester,4680,142
1607,Worcester,MA,Worcester,Worcester,8055,131
1609,Worcester,MA,Worcester,Worcester,4701,142
1610,Worcester,MA,Worcester,Worcester,5044,110
1611,Leicester,MA,Worcester,Worcester,10760,131
1612,Paxton,MA,Worcester,Worcester,8796,145
1701,Framingham,MA,Boston,Middlesex,1711,240
1702,Framingham,MA,Boston,Middlesex,1226,199
1719,Boxboro,MA,Boston,Middlesex,8883,234
1720,Acton,MA,Boston,Middlesex,3841,252
1721,Ashland,MA,Boston,Middlesex,5194,214
1730,Bedford,MA,Boston,Middlesex,5582,338
1740,Bolton,MA,Worcester,Worcester,8764,199
1741,Carlisle,MA,Boston,Middlesex,10403,269
1742,Concord,MA,Boston,Middlesex,4996,377
1746,Holliston,MA,Boston,Middlesex,5521,235
1747,Town of Hopedale,MA,Worcester,Worcester,8277,149
1748,Town of Hopkinton,MA,Boston,Middlesex,6008,233
1749,Town of Hudson,MA,Boston,Middlesex,4352,198
1752,Marlborough,MA,Boston,Middlesex,1584,184
1754,Maynard,MA,Boston,Middlesex,8250,205
1756,Mendon,MA,Worcester,Worcester,8298,179
1757,Town of Milford,MA,Worcester,Worcester,2421,171
1760,Natick,MA,Boston,Middlesex,1636,286
1770,Sherborn,MA,Boston,Middlesex,9187,268
1772,Southborough,MA,Worcester,Worcester,8530,243
1773,Lincoln,MA,Boston,Middlesex,8795,324
1775,Stow,MA,Boston,Middlesex,7878,222
1776,Sudbury,MA,Boston,Middlesex,5633,290
1778,Wayland,MA,Boston,Middlesex,6684,320
1801,Woburn,MA,Boston,Middlesex,1288,271
1803,Burlington,MA,Boston,Middlesex,3112,264
1810,Town of Andover,MA,Boston,Essex,1870,234
1821,Billerica,MA,Boston,Middlesex,2511,206
1824,Chelmsford,MA,Boston,Middlesex,3299,222
1826,Dracut,MA,Boston,Middlesex,3512,181
1827,Dunstable,MA,Boston,Middlesex,9761,182
1830,Haverhill,MA,Boston,Essex,2986,156
1832,Haverhill,MA,Boston,Essex,4356,157
1833,Georgetown,MA,Boston,Essex,7267,222
1834,Groveland,MA,Boston,Essex,9014,198
1835,Haverhill,MA,Boston,Essex,6101,159
1841,Lawrence,MA,Boston,Essex,859,141
1843,Lawrence,MA,Boston,Essex,2920,169
1844,Methuen,MA,Boston,Essex,653,165
1845,North Andover,MA,Boston,Essex,2073,221
1850,Lowell,MA,Boston,Middlesex,5834,145
1851,Lowell,MA,Boston,Middlesex,2093,155
1852,Lowell,MA,Boston,Middlesex,1844,161
1854,Lowell,MA,Boston,Middlesex,2370,157
1860,Merrimac,MA,Boston,Essex,8027,189
1862,Billerica,MA,Boston,Middlesex,7555,203
1863,North Chelmsford,MA,Boston,Middlesex,7121,200
1864,North Reading,MA,Boston,Middlesex,5674,269
1867,Reading,MA,Boston,Middlesex,3873,272
1876,Tewksbury,MA,Boston,Middlesex,2010,225
1879,Tyngsboro,MA,Boston,Middlesex,6558,177
1880,Wakefield,MA,Boston,Middlesex,2925,260
1886,Westford,MA,Boston,Middlesex,3619,247
1887,Wilmington,MA,Boston,Middlesex,3332,262
1890,Winchester,MA,Boston,Middlesex,4965,368
