330.75,10639.5,22,-160
673.4285714285714,14736.57142857143,22,-159
744.0526315789474,7257.421052631579,21,-158
2484.4285714285716,26943.714285714286,22,-158
9185.0,97798.5,21,-157
9436.5,109571.0,19,-156
4087.0,51957.4,20,-156
4498.4,57666.2,21,-156
Infinity,Infinity,19,-155
7671.333333333333,105985.66666666667,20,-155
23142.0,320347.0,62,-149
23261.0,323017.0,65,-148
23382.0,330819.0,65,-147
Infinity,Infinity,58,-135
Infinity,Infinity,55,-132
Infinity,Infinity,39,-124
6022.25,87581.25,41,-124
12160.0,186556.0,42,-124
4182.5,70574.33333333333,43,-124
6414.75,115617.5,44,-124
2729.3,56666.3,45,-124
4091.714285714286,92506.0,46,-124
4865.833333333333,118174.5,47,-124
1372.7941176470588,27547.382352941175,38,-123
2697.3684210526317,58224.94736842105,39,-123
Infinity,Infinity,41,-123
4092.769230769231,90932.23076923077,42,-123
4950.818181818182,117246.18181818182,43,-123
3347.470588235294,81873.64705882352,44,-123
1036.8636363636363,26507.363636363636,45,-123
1542.6470588235295,39866.01960784314,46,-123
2067.1951219512193,56527.9756097561,47,-123
3327.296296296296,94333.14814814815,48,-123
15185.333333333334,434343.3333333333,49,-123
Infinity,Infinity,36,-122
1713.3058823529411,34608.69411764706,37,-122
1605.2941176470588,24967.382352941175,38,-122
10563.238095238095,167166.2380952381,39,-122
15987.285714285714,256929.2142857143,40,-122
22513.7,368244.2,41,-122
112657.5,1844877.5,42,-122
225446.0,3701947.0,43,-122
112892.0,1858869.0,44,-122
20714.81818181818,347640.36363636365,45,-122
19164.5,325491.5,46,-122
4196.473684210527,74018.73684210527,47,-122
3306.0379746835442,57576.101265822785,48,-122
29176.333333333332,512728.77777777775,49,-122
26612.8,467664.6,35,-121
53493.4,943137.0,36,-121
38378.0,678408.4285714285,37,-121
5047.309090909091,91335.52727272727,38,-121
4404.909090909091,81538.72727272728,39,-121
58274.8,1085631.4,40,-121
145784.0,2726397.5,42,-121
97362.0,1821436.0,44,-121
36641.0,690729.25,47,-121
146787.5,2773908.0,48,-121
37384.875,698101.5,34,-120
37655.25,702526.25,35,-120
37761.625,707785.0,36,-120
8513.194444444445,162012.19444444444,37,-120
28012.0,540977.9090909091,38,-120
12090.5,236948.57692307694,39,-120
28734.0,565819.2727272727,40,-120
39605.875,785573.25,46,-120
45386.857142857145,904844.2857142857,47,-120
63756.0,1277559.4,48,-120
7293.978260869565,141792.13043478262,34,-119
21087.375,411042.875,35,-119
17873.526315789473,352426.94736842107,36,-119
42579.0,844724.625,37,-119
Infinity,Infinity,38,-119
113654.66666666667,2263237.0,39,-119
Infinity,Infinity,40,-119
Infinity,Infinity,45,-119
31121.727272727272,622712.5454545454,46,-119
85676.5,1723473.5,47,-119
342778.0,6905824.0,48,-119
